,level_0,index,tweetid,user,content,date,lang,sentiment
22,22,36,758751812543324162,42751652,@lagartoblue buen tip muchas gracias,Thu Jul 28 19:51:43 +0000 2016,es,P
23,23,37,758547377267445760,2365971720,"Veo que nos extrañan...mi tío nos llamó, mi prima me dedica tuits y mi mamá me manda foto con caras tristes AH PERO CUANDO ESTO ALLÁ...",Thu Jul 28 06:19:22 +0000 2016,es,NEU
24,24,43,766806700825333760,1018880336,@JorgeCallirgos q horrible sentimiento ajajaja,Sat Aug 20 01:18:58 +0000 2016,es,NEU
25,25,45,767203472466964481,3174532732,#EVDLV @ErnestoJimenex es el hombre perfecto,Sun Aug 21 03:35:36 +0000 2016,es,P
26,26,46,761458753447292928,108920061,Nada como el nuevo #InstagramStories,Fri Aug 05 07:08:08 +0000 2016,es,P
27,27,53,761453592389779456,1637649008,Me he puesto nervioso por la función de mañana. Y si me da una laguna mental??? Mierda ahora no puedo dejar de pensar en eso,Fri Aug 05 06:47:38 +0000 2016,es,N
28,28,56,769180856518864896,45479587,Hoy en el micro a una chica se le cayó su celu y el cobrador y una chica gritando de quien era. Lo bueno es que nadie se lo quedó,Fri Aug 26 14:33:01 +0000 2016,es,P
29,29,57,769227370003894272,58940443,"Voy o no voy!!! estresado pero feliz con tu amor,un amor verdadero sincero y no convenido m siento amado x quien soy no x conveniencia",Fri Aug 26 17:37:51 +0000 2016,es,NEU
30,30,58,777333316102025217,633166235,"Ni siquiera subi a la montaña mas alta porque ""es muy peligroso"" solo el camino es angosto, oe, yo queria mi foto con la llama",Sun Sep 18 02:27:59 +0000 2016,es,NEU
31,31,59,778819488728821760,798676279,@AlejoAbarca muy underground ya mano,Thu Sep 22 04:53:30 +0000 2016,es,N
32,32,60,778675524008808448,56914588,¡Mi @Isoor_! Extraño tus tuis y TT Aquí jodida con cel de reemplazo - cuento los días para q me den MI equipo y volver a tuitear a full.,Wed Sep 21 19:21:26 +0000 2016,es,N
33,33,62,777238040905453569,44719182,"Yo sé que a Yixing no se le da mucho el ser gracioso, pero se esfuerza. Cada que lo intenta nos sale con nuevos memes, pero se esfuerza",Sat Sep 17 20:09:23 +0000 2016,es,NEU
34,34,63,778485882647089152,411884666,"Ese momento en el que no puedes dormir y no sabes por qué, pero estás con una sonrisa de oreja a oreja al igual que toda la semana",Wed Sep 21 06:47:52 +0000 2016,es,NEU
35,35,64,779143704716185600,4227406534,Me gusta estar sola y me molesta la gente que habla mucho. Si tan solo nos juntáramos a escuchar música y de rato en rato hablar de ello,Fri Sep 23 02:21:49 +0000 2016,es,NEU
36,36,65,784244447315918848,177304651,"@metrokosmiko Pero retomas y ya (y bueno, lo que dices, es mi razón para no ir a un gym, por eso prefiero entrenar en casa )",Fri Oct 07 04:10:21 +0000 2016,es,NEU
37,37,66,784229178258358272,602247520,@sigridbazan Tu optimismo es admirable,Fri Oct 07 03:09:41 +0000 2016,es,P
38,38,67,784060086159282176,770853570,"Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida",Thu Oct 06 15:57:46 +0000 2016,es,P
39,39,69,783113078095380480,168854991,"@ViviRivasPlata dias q m hacen reir con sus ocurrencias con sus reportajes sigan asi, xq lo demas es recontra aburrido!!!!!!!! kisses",Tue Oct 04 01:14:42 +0000 2016,es,P
40,40,70,780169626944675840,3260491297,@IsabelPalomar espero que te mejores,Sun Sep 25 22:18:28 +0000 2016,es,P
41,41,71,780255431130308609,118938637,Buena pela #LaPeorDeMisBodas @maricarmenmarin @gabrielsotoMEX @rickytosso @adolfoaguilarv @DarleneRosas @EmanuelSoriano buen elenco,Mon Sep 26 03:59:25 +0000 2016,es,P
42,42,72,780202348731916289,912534385,"Empezó el tercer y último turno que acaba mańana a las 7 am. El ambiente está más caliente que semanás atrás. Bueno, es la primavera!",Mon Sep 26 00:28:30 +0000 2016,es,NEU
43,43,75,781905722074238976,94930341,"-Silva, la próxima clase sal a debatir para que tengas nota. -¿Me falta nota profe? -No, es que quiero ver cómo les ganas.",Fri Sep 30 17:17:05 +0000 2016,es,P
44,44,76,781868317652946944,773395613513900032,@PatoParodiC espero que te mejores,Fri Sep 30 14:48:27 +0000 2016,es,P
45,45,78,782762375866974209,237924993,Un chico vino desde adelante a sentarse cerca de mi sólo a preguntarme la hora... Quizás era el amor de mi vida y yo lo mire feo,Mon Oct 03 02:01:08 +0000 2016,es,N
46,46,79,782439869075320832,281763696,"El amor incondicional es esa clase de sentimiento que busca la felicidad de otro ser, incluso a costa del suyo. Familia es quien te ama.",Sun Oct 02 04:39:36 +0000 2016,es,P
47,47,80,782391546570219520,259852928,"Terminé mi Inktober, pero mi hermano no está y no lo podré subir Esperaré que pasen 3 días más para subirlos juntos. Adivinen que dibuje!",Sun Oct 02 01:27:35 +0000 2016,es,NEU
48,48,82,782020700227923968,22363271,Fin de la Misión #Lima-limon: Muchas gracias a tod@s por el cariño y por la buena onda!! El tiempo fue corto pero se repetirá visita,Sat Oct 01 00:53:58 +0000 2016,es,P
49,49,87,776104226363699200,200333457,@madshila @soleyvelez @CarlosJRubiofm y ahora sonando @sinbandera #CancionesDeAmorEnFanatica excelente,Wed Sep 14 17:04:01 +0000 2016,es,P
50,50,88,776827610227703808,200333457,@AracelyPeri @AlejandroSanz @CorazonesPeru #girasiropevivo con nuestro Chan hermoso,Fri Sep 16 16:58:29 +0000 2016,es,P
51,51,89,776770664678162432,328310252,#QueFeoTuConsejoOe no funciona tu huevada,Fri Sep 16 13:12:12 +0000 2016,es,N
52,52,91,776596915077062656,2860685698,"Mi usb de mierda está malogrado y se me borró TODA MI PUTA INFO de eeggll ensayo de argu, monografia de investiga, los extrañaré",Fri Sep 16 01:41:47 +0000 2016,es,N
53,53,92,776660584024662016,183138589,Morí @AlexisDescalzo me dio like #Bombon,Fri Sep 16 05:54:47 +0000 2016,es,P
54,54,98,793617212594675712,3315039911,"Extraño Virginia, extraño a Leo, extraño a mis primas, extraño a mi tía extraño salir y ver la nieve y sus atardeceres y los cervatillos",Wed Nov 02 00:54:22 +0000 2016,es,NEU
55,55,100,795488898839363584,81204324,"@CarmenLo19 hola Carmen!! Es una aplicación para ver películas y series! Bien completa es, incluso hay de las que están en estreno en HD.",Mon Nov 07 04:51:47 +0000 2016,es,P
56,56,101,790360997194190848,714677089589452804,"Siempre me han dicho que la relación que tengo con mi papá es muy bonita, es por que siempre solo nos hemos tenido el uno al otro",Mon Oct 24 01:15:20 +0000 2016,es,P
57,57,102,791438076623151104,265836738,En mi casa todos morirán el día que haya un terremoto. Nadie me hace caso. Yo la única zonza parada en toalla en la calle.,Thu Oct 27 00:35:16 +0000 2016,es,N
58,58,103,790621955389095936,698391366242594816,Querer alguien que no te quiere es como intentar volar con un ala rota. ..................................,Mon Oct 24 18:32:17 +0000 2016,es,N
59,59,105,785998110287769600,871036573,@mangoypalta abrazo sororoso nos encontraremos,Wed Oct 12 00:18:47 +0000 2016,es,P
60,60,107,786208178497134592,371910750,Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,Wed Oct 12 14:13:31 +0000 2016,es,N
61,61,109,786072722715578369,871036573,A esta ciudad la siento más propia cuando está la gente que quiero. Ni tenemos 25 y ya nos agarro la ola migratoria de amig,Wed Oct 12 05:15:16 +0000 2016,es,N
62,62,110,785686468039577601,440380151,"quiero ver las muñecas de la mafia,pero tengo que terminar mi examen y mañana tengo que hacer mi estúpido vídeo para el parcial y",Tue Oct 11 03:40:25 +0000 2016,es,N
63,63,112,786782471534866432,1225569499,Bob Dylan siempre ha sido un gran poeta Siempre lo dije. Siempre lo pensé. Sigo emocionada ¡Los tiempos están cambiando!,Fri Oct 14 04:15:33 +0000 2016,es,P
64,64,113,786804920397668353,770853570,Mis buenas intensiones se fueron a la M cuando descubro que no tengo pegamento y el plano no entra en la base  Entrega 9:00 AM,Fri Oct 14 05:44:45 +0000 2016,es,N
65,65,114,786791628270735361,759585997,"mañana es viernes otra vez, estoy nerviosa por que no sé como me voy a sentir con lo de ukai me voy a poner triste a cada rato",Fri Oct 14 04:51:56 +0000 2016,es,N
66,66,115,786813271466651649,714677089589452804,"Cuando estas bien con DIOS el enemigo te pone incapie en el camino, pero yo no tengo miedo por que mi FÉ esta en DIOS.",Fri Oct 14 06:17:56 +0000 2016,es,P
67,67,116,786718018223177728,198579667,"Nivel de inglés Sra @chechechacon ? Alto. Traduzca juguete. Toy. Úselo en una oración. Toy triste. Awww, vengache pa' acá",Thu Oct 13 23:59:26 +0000 2016,es,P
68,68,118,787053672400195584,714677089589452804,Dios guarda para mi lo mejor por que mi fe en el siempre perdurara por la eternidad. Quien busca encuentra y no se conforma con poco.,Fri Oct 14 22:13:12 +0000 2016,es,P
69,69,122,786053094538752000,871036573,No muchas cosas me han hecho tan feliz en estos días como darme cuenta que todo Ape in pink marble de Devendra Banhart está en spotify.,Wed Oct 12 03:57:16 +0000 2016,es,P
70,70,125,787296529191165952,2841584225,"@emarlyworld feliz sabado para ti tbm,a los tiempos entro al twitter y es agradable que a la primera persona que vea, sea a ti !!!",Sat Oct 15 14:18:14 +0000 2016,es,P
71,71,126,787154110407581696,67104636,"Y ahora, volvamos a la realidad... ¡ay Venezuela! Como me has hecho llorar desde lejos... con que tristeza digo que yo soy venezolano.",Sat Oct 15 04:52:19 +0000 2016,es,N
72,72,129,792521562255659008,1692716244,"sinceramente nunca me consideré belieber porque no es mi ídolo, pero sí, me encanta como artista y me sé toooodas sus canciones",Sun Oct 30 00:20:39 +0000 2016,es,P
73,73,130,793210591770992640,871036573,No sé qué onda con spotify que ya llevo escuchando medio disco de serge y no me sale ninguna publicidad. Cómo engatuzan a l pobres,Mon Oct 31 21:58:36 +0000 2016,es,NEU
74,74,131,793217872969555974,104890670,"María es así, cuando no quiero manejar me hace que la recoja y cuando quiero me dice que no, que fácil estoy cansado.",Mon Oct 31 22:27:32 +0000 2016,es,N
75,75,132,793197250050682880,27775541,"Mi mejor amigo me quiere revender un cupón para un fds en un Hotel en Chincha. Qué, voy sola o qué? te pasaste de pendejo @Renzo_Ariza",Mon Oct 31 21:05:35 +0000 2016,es,N
76,76,133,792417027864555520,772085092168654849,"Bien Rafael, go ahead, no rscuches a los minusvalidos mentales red tomatoes, con climper y elmer cuba haran buen equipo!!!",Sat Oct 29 17:25:16 +0000 2016,es,P
77,77,134,792438431389454338,2810529144,No se por que bueno es bueno poner buena cara cuando estas sufriendo o no puedes con algo mirar al espacio nomas y acordarse de DIOS,Sat Oct 29 18:50:19 +0000 2016,es,NEU
78,78,136,792947445353152513,714677089589452804,"Mi vida cada día esta mejor, para mi gusto pero para molestia de muchos, lastima xq no debería molestarte lo que a otros los hace feliz",Mon Oct 31 04:32:57 +0000 2016,es,NEU
79,79,137,791750348478218240,874353925,Hoy vi unas florecitas muy hermosas color lavanda !!! Y no pude recogerlas porque iba en el carro QUE IMPOTENCIA !!!!,Thu Oct 27 21:16:07 +0000 2016,es,N
80,80,139,789611974988558337,2282880553,"No sé porqué pero ya no me cae para nada, es más me da asquito y antes éramos amigas, aunque creo que ni eso consideraba ella",Fri Oct 21 23:38:59 +0000 2016,es,N
81,81,142,796223033723723776,81204324,"Hoy mejoré un poquito, para alguien que no hace deporte hace como 1 año, hacer 4K luego de 1 semana de empezar esta bien creo.",Wed Nov 09 05:28:59 +0000 2016,es,P
82,82,145,799326382362947585,212983310,"Uds locas por sun and moon me dieron ganas de jugar, pero hablan de stats y huevadas que ni idea. Yo feliz atrapando y combatiendo nomas",Thu Nov 17 19:00:34 +0000 2016,es,NEU
83,83,146,800200980717563905,283634239,"@FChavezCabrera Lo leí y pensé en ti Quisiera ser una hormiguita y trepar por tu balcón para decirte al oído:guapo,bonito y bombón.",Sun Nov 20 04:55:55 +0000 2016,es,P
84,84,147,800133387826692096,91882154,Le digo a mi gordo que pensaba irme de rumba y que me cancelaron a última hora. Y me dice que tomará un taxi lo amo!,Sun Nov 20 00:27:20 +0000 2016,es,P
85,85,152,798744444790972416,3350876285,"Por gusto redacté un testamento para que Ale se lo publique a Steven ... Gracias Perú, me dejaste misio y encima Ale no publica nada",Wed Nov 16 04:28:10 +0000 2016,es,N
86,86,153,799439171907678208,481395812,"@lghostfive ¿estás bien o estás ahí por alguien más? lo que sea que fuese, espero de todo corazón que no sea nada grave del todo",Fri Nov 18 02:28:46 +0000 2016,es,P
87,87,154,799401064210501632,752532420,Bueno hoy fui a almorzar a Nanay con otras 3 dras xq la capacitación mal organizada no nos dió almuerzo y encima nos mandan a comer 2pm,Thu Nov 17 23:57:20 +0000 2016,es,N
88,88,155,799516260321132546,53311422,Y entramos en esa época del año donde todos los comerciales me hacen llorar … empezando por el de los ositos en el aeropuerto #XMas,Fri Nov 18 07:35:05 +0000 2016,es,N
89,89,157,804647042526183424,599653674,Sigamos siendo felices felices felices,Fri Dec 02 11:22:59 +0000 2016,es,P
90,90,158,805798188435308544,4106215156,hay un monton pituelistas en mi inicio q piensan todo lo contrario a mi y no me pongo densa a comentarle todos sus twitts,Mon Dec 05 15:37:13 +0000 2016,es,NEU
91,91,159,804332715298406400,27775541,"Ojalá que pase rapidito el tiempo y ya depositen la grati, en 15 minutos pagaré todas mis cuentas y seré pobre otra vez",Thu Dec 01 14:33:57 +0000 2016,es,N
92,92,160,804421712007659520,440380151,"@Smilue TE AMOOOOOO CSM A LA FI,y la verdad que eres la única que soporto de las amigas de tú sabes quien jeje",Thu Dec 01 20:27:36 +0000 2016,es,P
93,93,161,804153261259419648,2994953897,Nunca voy a entender porque se fueron a eeg... El verdadero combate peru se fue ahi no se porque! TE VEO Y ME PICA VICICONTE,Thu Dec 01 02:40:52 +0000 2016,es,N
94,94,164,805060500799295488,914822761,No hay una sola libreta que esté terminando y que tenga que poner el comentario final y no llore. Voy a extrañar demasaido mi clase,Sat Dec 03 14:45:55 +0000 2016,es,N
95,95,166,804752001716408320,2475649003,uno sale re feliz de la prepa y de pronto se encuentra con el trafico del mal y no hay cuando llegue a casa,Fri Dec 02 18:20:03 +0000 2016,es,N
96,96,168,804765922103857152,374025409,"@FerReynaOFICIAL Bien cansada jajajaajaja fin de año, mes de diciemnre con mucho trabajo pero no hay nada que me detenga, vamos con ganas",Fri Dec 02 19:15:22 +0000 2016,es,NEU
97,97,169,804775991717593089,1556689902,Esta ultima ejecucion hizo que se me salieran lagrimas. Fue tan triste la despedida y Sonia llorando que ufff. Directo al kokoro,Fri Dec 02 19:55:23 +0000 2016,es,N
98,98,170,804875877884592128,731358647549202432,@ZabdielpanamaOF cuenten conmigo Todo por Zabdi,Sat Dec 03 02:32:17 +0000 2016,es,NEU
99,99,171,804176022786768896,1025550403,"Mica a la salida del canal hoy, hermosa! Nos mandó saludos y dijo que Pitu recién se había dormido TE VEO Y ME…",Thu Dec 01 04:11:19 +0000 2016,es,NEU
100,100,173,804225247461470208,7666912,Dios no levante la campaña me van a colgar. Ah claro igual no me envían las entradas y ya me estoy por ir  joder ejecutiva ctv,Thu Dec 01 07:26:55 +0000 2016,es,N
101,101,174,805312206636281856,357340230,@davidernestoz yo te veo bonito,Sun Dec 04 07:26:06 +0000 2016,es,P
102,102,175,805404515939844097,139160979,"@fernandomerino q gran idea Fer !!! Pero tengo mucha flojera , andaba dándome ánimos para ir hasta el ecomarket de la otra cuadra.",Sun Dec 04 13:32:54 +0000 2016,es,N
103,103,177,805234114978791424,4106215156,"rama diciendo q mica se quede alla, tranqui q nosotros tambien queremos q se quede para q no este con hipocritas como vos @ramironayar",Sun Dec 04 02:15:48 +0000 2016,es,N
104,104,178,806134022522961920,309388389,Yo quiero una rosa eterna,Tue Dec 06 13:51:42 +0000 2016,es,NEU
105,105,179,805965397921071104,764243,"#Guerrero es, de leeejos, la mejor película comercial que ha lanzado @Tondero hasta hoy. Lo cual no será decir mucho, pero es lo que es",Tue Dec 06 02:41:39 +0000 2016,es,P
106,106,180,803331684775194625,154647915,"@CristhianRS ¿? ¿Cuál tema? ¿Cuál manejo? ¿Por qué malísimo? Bueno, si así descalificas a El País, mejor ni discuto contigo. Bs tardes",Mon Nov 28 20:16:13 +0000 2016,es,N
107,107,181,803407150978596864,166730411,Pensé que este día no podía empeorar más y ahora Sali me dice que sus finales acaban un día antes de que me vaya,Tue Nov 29 01:16:06 +0000 2016,es,N
108,108,183,803666987138371584,67804461,Estando en mis últimos días de jardín puedo decir que mi vida y mis vacaciones no serán las mismas sin mis pequeños,Tue Nov 29 18:28:35 +0000 2016,es,N
109,109,184,802599174931890176,1068330698,@omarvch @plazavea yo hace un momento literal,Sat Nov 26 19:45:29 +0000 2016,es,NEU
110,110,185,802731601276780544,714677089589452804,"Mi novio me quiere llevar a una fiesta y yo no quiero, el si es muy dependiente de mi a todos lados quiere ir conmigo #vesolosi",Sun Nov 27 04:31:42 +0000 2016,es,N
111,111,186,802726139131142145,1282075148,"Aunque aún no te lo creas, déjame decirte que eres hermosa. Aunque aparentes ser muy orgullosa, sé muy bien que tu amor es puro.",Sun Nov 27 04:10:00 +0000 2016,es,P
112,112,187,802724860375928832,122828608,"Y no pos guau, mis vecinos acaban de prender la radio max volumen y lo primero que suena ""cerveceroooooo llegooooo el caaaaantineroooooo""",Sun Nov 27 04:04:55 +0000 2016,es,NEU
113,113,188,802521472388464640,248938038,#felizcumplemichi pasala bien con tus seres queridos exitos en todo en lo k te propongas y exitos en #Bioquimica tambien ) si se puede,Sat Nov 26 14:36:43 +0000 2016,es,P
114,114,190,803256972237619200,373421428,En la vet pq Aslitan está enfermito ...Hay una Sra. que está llorando pq a su perrito lo están operando,Mon Nov 28 15:19:20 +0000 2016,es,N
115,115,191,803079718203441152,1327372519,"Meta 2017, llegar a 250 mil vistas en mi blog, son solo menos de 67, 900 vistas. Se que podre lograrlo",Mon Nov 28 03:34:59 +0000 2016,es,P
116,116,192,802645001825988608,977124043,"...Yo solo googleaba y leía posts de Taringa, entraba a un Youtube diferente al de hoy.Y Gracias a todo eso hoy soy como soy @microbox6",Sat Nov 26 22:47:35 +0000 2016,es,NEU
117,117,193,802359837308887040,3039539847,@CJSuasnabar soy el perro asesinado,Sat Nov 26 03:54:26 +0000 2016,es,N
118,118,195,803971670499266561,1283501732,"@primerafuente1 q increíble, esas historias!!!siempre recibir los favores y sobre de un mismo lugar no? Dar el rhe a un único instituto.",Wed Nov 30 14:39:17 +0000 2016,es,P
119,119,196,803784055623970816,1699400576,"@Shamans_Blues_ lo de la comida le quita toda la parte negativa entonces, buenaso. Gracias!! Que te vaya super bien en tus finales",Wed Nov 30 02:13:47 +0000 2016,es,NEU
120,120,198,803669511006224384,766435412,"No puedo creer que en unas horas sere egresada!!! 21 años,2 carreras,estudios en europa,excelente trabajo Gracias Dios!",Tue Nov 29 18:38:37 +0000 2016,es,P
121,121,200,804055966782259200,350067417,"Quiero que sepas que desde el fondo de mi corazón, me importa una mrda lo que pienses de mí",Wed Nov 30 20:14:15 +0000 2016,es,N
122,122,201,804074641685958657,27775541,"Entran a la oficina y dicen ""Sólo les voy a pagar a las que no vienen con escotes pronunciados"".",Wed Nov 30 21:28:28 +0000 2016,es,NEU
123,123,202,804085188531666945,27966107,"@mamutida @Malfitan0 ¡gracias por el saludo! Jonasito está calentando la voz para entonar el ""feliz cumpleaños"" a lo Wagner",Wed Nov 30 22:10:22 +0000 2016,es,P
124,124,203,804135766859227136,1684194686,Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda,Thu Dec 01 01:31:21 +0000 2016,es,P
125,125,204,800000440977031170,599653674,Alejarse de personas y de pensamientos negativos hace que cosas espectaculares sucedan en nuestra vida a pesar de que no nos demos cuenta,Sat Nov 19 15:39:03 +0000 2016,es,P
126,126,205,799999990319845376,599653674,"Tomar distancia de las cosas negativas nos hace crear un espacio, un vacío para que cosas positivas y mejores lleguen a nosotros",Sat Nov 19 15:37:15 +0000 2016,es,P
127,127,206,799849875236069376,3397407975,@cracks_oficial bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU,Sat Nov 19 05:40:45 +0000 2016,es,P
128,128,209,799781581502214144,824015736,@AriadnaPacheco5 jajajaja yo tambien estoy castigada pero tu fumas en tu casa y yo en la mia ajajajajajaja asi estaremos conectadas,Sat Nov 19 01:09:22 +0000 2016,es,N
129,129,210,801199435841765376,249261423,"Bueno yo puse todo de mi parte, paso siguiente: descartar lo pensado. Después que no me salga con que no lo intente. Bless",Tue Nov 22 23:03:25 +0000 2016,es,NEU
130,130,211,801288565028069376,308618759,"No es bonito tener que leer 3 capítulos de fármaco para tu pasito, luego leer inmuno para ener y finalmente terminar tu trabajo final",Wed Nov 23 04:57:35 +0000 2016,es,N
131,131,217,807383001608769536,19094958,"Era un señor de edad y eso. Y pues, es entendible. Pero que feo y difícil debe ser vivir eso",Sat Dec 10 00:34:42 +0000 2016,es,N
132,132,219,807270596723830784,704317453,#ElPeorAmigoSecretoEs el que le dice a todos quien es su amigo secreto o el que te regala un caramelo diminuto que venció hace 2 meses,Fri Dec 09 17:08:03 +0000 2016,es,N
133,133,221,808073120821248000,129632452,Mamá! No más paneton! No ves que ya he bajado como 8 kilos quieres que los suba en dos días?,Sun Dec 11 22:16:59 +0000 2016,es,N
134,134,225,807274276395040768,109141781,Ptmr hoy se presenta trébol clan y recuerdo que en gotica se presentó y fue la última vez que lo vi y hice mi cagada claro,Fri Dec 09 17:22:40 +0000 2016,es,N
135,135,226,807601503599005696,166730411,"Es raro que le sigan dando like a mi comentarios de octubre, pero me recuerda por qué lo puse",Sat Dec 10 15:02:57 +0000 2016,es,NEU
136,136,227,807639668367958017,109141781,No te diré porque duele tanto sé que no quieres saber lo que pienso ni lo que diré ni mis motivos Tu eres realmente bueno para mi,Sat Dec 10 17:34:36 +0000 2016,es,NEU
137,137,228,807620774827855872,109141781,Yo dije que ayer no debí salir pero es que AGGGGG matenme solol soy un ser humano pero esta vez sí LA cague BIEN feo,Sat Dec 10 16:19:32 +0000 2016,es,N
138,138,229,807619249019572224,240776466,"Ayer mi profe me ubicó y fue genial hablar de tantos proyectos, en verdad de la nada nos encontramos con personas que nos motivan",Sat Dec 10 16:13:28 +0000 2016,es,P
139,139,230,807497095582248960,43269931,Todo pudo ser tan bonito,Sat Dec 10 08:08:04 +0000 2016,es,N
140,140,231,806855712529756162,407126009,"Hoy es feriado y el trafico será menos, igual o mayor en Lima, allá vamos con Fe",Thu Dec 08 13:39:27 +0000 2016,es,NEU
141,141,233,806727328659144706,41191083,Yo quiero una familia así #ModernFamily,Thu Dec 08 05:09:18 +0000 2016,es,NEU
142,142,234,806710506098753536,1561422007,"Mi bebé primero reniega porque tiene hambre, y cuando ya comió un montón, reniega porque está muy llena. La más linda es",Thu Dec 08 04:02:27 +0000 2016,es,P
143,143,235,807241334839005189,36978773,"Estoy con todos los sentimientos, odio las despedidas y hoy estaré muy emocional. Con fe mi último día aquí y nuevos retos por venir",Fri Dec 09 15:11:46 +0000 2016,es,NEU
144,144,236,807156681419460608,2385426073,Por esos amigos que les dices que estas triste y ya te están planeando las salidas hasta los viajes a futuro con ellos Como los quiero,Fri Dec 09 09:35:23 +0000 2016,es,P
